doc_id,sent_id,text,sent_text,before,after
0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-1,Tubantia Isa Kahraman uit Rijssen wil met **Omtzigt** de Kamer in,Tubantia Isa Kahraman uit Rijssen wil met **Omtzigt** de Kamer in,NA,waarom wil je toch de wereld redden ?
003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-5,**Wilders** wil dolgraag meeregeren .,**Wilders** wil dolgraag meeregeren .,Maar bijna de hele stad op kruipsnelheid ?,Dat geeft onverbiddelijk vertraging en veel meer luchtvervuiling .
005bf7dfc86bcee9a49e5555d17a0f943b5f8503bd61bb2b9da5f69b,005bf7dfc86bcee9a49e5555d17a0f943b5f8503bd61bb2b9da5f69b-4,"Maasland heeft haar contract getekend bij uitgeverij **Volt** , die gevestigd is in Amsterdam .","Maasland heeft haar contract getekend bij uitgeverij **Volt** , die gevestigd is in Amsterdam .","Dat doet ze "" met een alcoholvrije champagne , truffelchocolade en een trotse vader "" .",""" Dank voor het vertrouwen "" , schrijft ze ."
00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18,"De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( **VVD** ) .","De kiezers die NRC sprak , zien dat er ruimte is voor iets nieuws , in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte ( **VVD** ) .","Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd , gekoppeld aan migratie , aan de gevoelde voorrang die bepaalde groepen , onder wie statushouders en Oekraïense vluchtelingen , krijgen bij de toewijzing van huisvesting .",En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen .
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6,Demissionair **minister** Hugo de Jonge ( Binnenlandse Zaken ) roept de gemeenten op om ervoor te zorgen dat de stemlokalen op 22 november zo veel mogelijk toegankelijk zijn voor mensen met een beperking .,Demissionair **minister** Hugo de Jonge ( Binnenlandse Zaken ) roept de gemeenten op om ervoor te zorgen dat de stemlokalen op 22 november zo veel mogelijk toegankelijk zijn voor mensen met een beperking .,De lucht die we nu inademen is al veel te lang en overal ongezond .,"Daar kan en moet een nieuw kabinet voortvarend mee aan de slag . """
01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945,01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-12,Rechts heeft voorrang voor Pieter **Omtzigt** als het even kan .,Rechts heeft voorrang voor Pieter **Omtzigt** als het even kan .,Gerrit Krajenbrink De Heurne,Dat kwam koud op mijn dak .
010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242,010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-75,"En dan te bedenken dat ik vroeger stemde op de partijen – GL, **PvdA** , PvdD – die ons dit aandoen .”","En dan te bedenken dat ik vroeger stemde op de partijen – GL, **PvdA** , PvdD – die ons dit aandoen .”",„ We hebben ons huis aan de gemeente verkocht en zijn verhuisd naar een andere wijk .,"Ze sliep amper drie , vier uur per nacht ."
01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-12,"Chris **Stoffer** , lijsttrekker SGP , bij Radio 1 Journaal :","Chris **Stoffer** , lijsttrekker SGP , bij Radio 1 Journaal :",07:16,waar staan hij en zijn partij voor ?
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789,0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35,Pieter **Omtzigt** en zijn Nieuw Sociaal Contract ( NSC ) maken een groot punt van verbetering van bestuur en herstel van vertrouwen .,Pieter **Omtzigt** en zijn Nieuw Sociaal Contract ( NSC ) maken een groot punt van verbetering van bestuur en herstel van vertrouwen .,"Een ingrijpende politieke cultuuromslag is nodig , en in die zin komen de verkiezingen op 22 november als geroepen .","Dat is een stap in de goede richting , maar wat moet er behalve een politieke mentaliteitsverandering nog meer gebeuren ?"
0186160442b8df6c34b464ae2525c2af277cc62b203beae4f9c7dfcd,0186160442b8df6c34b464ae2525c2af277cc62b203beae4f9c7dfcd-11,"Hirsi Ali groeide op in Somalië en later Kenia , werkte enkele jaren voor het partijbureau van de **PvdA** en zat in de Tweede Kamer voor de VVD .","Hirsi Ali groeide op in Somalië en later Kenia , werkte enkele jaren voor het partijbureau van de **PvdA** en zat in de Tweede Kamer voor de VVD .","Tenzij we iets bieden dat net zo betekenisvol is , vrees ik dat de erosie van onze beschaving zal doorgaan .'","Toen ze haar Nederlandse paspoort kwijtraakte , omdat ze dat op oneigenlijke wijze zou hebben verkregen , vertrok ze naar de Verenigde Staten ."
